ID,CITY,STATE,COUNTY,LOCATION
ebc895f9eab5c32d961d38bfdbd4aa4d1070bbff,U2llcnJhIFZpc3RhLCBBWg==,4.0,4003.0,"{
  ""lat"": 31.5455001,
  ""lon"": -110.2772856
}"
c8b94255c70f1987d171a76feb76fe38eaa24deb,Q29sbGVnZSBTdGF0aW9uLCBUWA==,48.0,48041.0,"{
  ""lat"": 30.627977,
  ""lon"": -96.3344068
}"
e35ac1fd017e3061d342206f392997e028c014ca,QXRsYW50YSwgR0E=,13.0,13121.0,"{
  ""lat"": 33.7489954,
  ""lon"": -84.3879824
}"
2af970c4554dd66f02271f188fd16e4e88037354,SHVudHN2aWxsZSwgQUw=,1.0,1089.0,"{
  ""lat"": 34.7303688,
  ""lon"": -86.5861037
}"
f962c4ee886e2d984b18e5f509ae6c86b495fab1,UGhvZW5peCwgQVo=,4.0,4013.0,"{
  ""lat"": 33.4483771,
  ""lon"": -112.0740373
}"
aded2cee7c1f7967408db58cdb1435c65426b92d,V2FycmVudG9uLCBWQQ==,51.0,51061.0,"{
  ""lat"": 38.7134516,
  ""lon"": -77.7952712
}"
d9b8ab9a5ab8a83ff769ca8f3255db22a7ba5f7c,VGFtcGEsIEZM,12.0,12057.0,"{
  ""lat"": 27.950575,
  ""lon"": -82.4571776
}"
d7c2e70093889a4fbb6e43832d6eb22088df0ccd,SG91c3RvbiwgVFg=,48.0,48201.0,"{
  ""lat"": 29.7604267,
  ""lon"": -95.3698028
}"
31970c2d7a8bd1f5c1a8530b085f3c1c316d8227,Qm9zdG9uLCBNQQ==,25.0,25025.0,"{
  ""lat"": 42.3600825,
  ""lon"": -71.0588801
}"
4b5eb2c2bbc58914aa950c26b94cb53af43c9cd9,Rm9zdGVyIENpdHksIENB,6.0,6081.0,"{
  ""lat"": 37.5585465,
  ""lon"": -122.2710788
}"
e90b3432b1dc20eff98f7b0602413b9a9f946a92,TmV3YXJrLCBERQ==,10.0,10003.0,"{
  ""lat"": 39.6837226,
  ""lon"": -75.7496572
}"
0682d3b55bcce0e34454b9b8c82775576602c4a6,V2FycmVudmlsbGUsIElM,17.0,17043.0,"{
  ""lat"": 41.817807,
  ""lon"": -88.1734021
}"
4fb3a62046f8ae369cb7c0b9d39991dfd808414c,RnJpc2NvLCBUWA==,48.0,48121.0,"{
  ""lat"": 33.1506744,
  ""lon"": -96.8236116
}"
a9d1f8499825e7e116c9e798495bd6d5ed916cab,V2VzdGVydmlsbGUsIE9I,39.0,39049.0,"{
  ""lat"": 40.1266689,
  ""lon"": -82.9318807
}"
b6e8a42446d637fd3faa5e0dcd7144cfc3e15b5d,Q2hpY2FnbywgSUw=,17.0,17031.0,"{
  ""lat"": 41.8781136,
  ""lon"": -87.6297982
}"
265a56e719d74c6a1b9bbcb8f825ead63dd787b9,U2FuIEpvc2UsIENB,6.0,6085.0,"{
  ""lat"": 37.3382082,
  ""lon"": -121.8863286
}"
482734b1045929e8a841ec1aec469278588afac8,Um9jaGVzdGVyLCBOWQ==,36.0,36055.0,"{
  ""lat"": 43.1565779,
  ""lon"": -77.6088465
}"
5abf6df6b25cc8e46fcecdaee76b81299f82bb56,T3ZlcmxhbmQgUGFyaywgS1M=,20.0,20091.0,"{
  ""lat"": 38.9822282,
  ""lon"": -94.6707917
}"
31da52d46823cd371917f7d6f2d13282115844d1,UGhvZW5peCwgQVo=,4.0,4013.0,"{
  ""lat"": 33.4483771,
  ""lon"": -112.0740373
}"
82c856a0d726efeca04bce82aeebbaea747a6f51,S2F0eSwgVFg=,48.0,48201.0,"{
  ""lat"": 29.7857765,
  ""lon"": -95.8245093
}"
33fe0e9f60a15205005ac3d7282407c81fc03843,TmV3IFlvcmssIE5Z,36.0,36061.0,"{
  ""lat"": 40.7501,
  ""lon"": -73.997
}"
2c8c7e9a17b6882bbe73ae42ff7b12e47dc70989,U2FudGEgQW5hLCBDQQ==,6.0,6059.0,"{
  ""lat"": 33.7454725,
  ""lon"": -117.867653
}"
4d63a512caf9d46d5bd8a0d9def3a083efa5440e,QXVzdGluLCBUWA==,48.0,48453.0,"{
  ""lat"": 30.267153,
  ""lon"": -97.7430608
}"
147472fef1e2f592af289c57d6f0130f1a82e74b,QXVndXN0YSwgTUU=,23.0,23011.0,"{
  ""lat"": 44.3106241,
  ""lon"": -69.7794897
}"
ea8bc28ca5f1e012159fa50e4a17947270431a9a,UGFsbyBBbHRvLCBDQQ==,6.0,6085.0,"{
  ""lat"": 37.4418834,
  ""lon"": -122.1430195
}"
a287835274cf55d8c27063710554b070205aa040,W1Vua25vd24gQ2l0eV0sIE1O,27.0,27999.0,"{
  ""lat"": 0,
  ""lon"": 0
}"
70576228f161240ebf65cf4a44d6a1246e0a6182,TGl0dGxlIFJvY2ssIEFS,5.0,5119.0,"{
  ""lat"": 34.7464809,
  ""lon"": -92.2895948
}"
5575c78b966843a96790769924eb8c5335367e23,Q2hpY2FnbywgSUw=,17.0,17031.0,"{
  ""lat"": 41.8781136,
  ""lon"": -87.6297982
}"
836a79efcbeb124781560e0791985d729c4c90d7,Q2FzYSBHcmFuZGUsIEFa,4.0,4021.0,"{
  ""lat"": 32.9110027,
  ""lon"": -111.7733902
}"
a39c752b3c31dd6377120ce7f78b8cc0757aa297,W1Vua25vd24gQ2l0eV0sIEdB,13.0,13999.0,"{
  ""lat"": 0,
  ""lon"": 0
}"
65ddcf1bade5b33f4d96d6e53c478a02f1c93b56,U2FuIERpZWdvLCBDQQ==,6.0,6073.0,"{
  ""lat"": 32.715738,
  ""lon"": -117.1610838
}"
7cddc84812fc5efcb64ef625d4a3dccb52ccd535,Q2hhdHRhbm9vZ2EsIFRO,47.0,47065.0,"{
  ""lat"": 35.0456297,
  ""lon"": -85.3096801
}"
07c8f5c4b6651435fb0e2f2862e3c9bf9ac819ed,Rm9ydCBMYXVkZXJkYWxlLCBGTA==,12.0,12011.0,"{
  ""lat"": 26.1224386,
  ""lon"": -80.1373174
}"
cd093c837aeca40aa4307be7fb9bcf2964551d99,SXJ2aW5nLCBUWA==,48.0,48113.0,"{
  ""lat"": 32.8140177,
  ""lon"": -96.9488945
}"
a882bdea0dd35dddbacc4ad3a934ad30514a8bda,VHVsc2EsIE9L,40.0,40143.0,"{
  ""lat"": 36.1539816,
  ""lon"": -95.992775
}"
c11b0d16dfc4b804baab13e944c5eeed6ddb0905,T3JsYW5kbywgRkw=,12.0,12095.0,"{
  ""lat"": 28.5383355,
  ""lon"": -81.3792365
}"
17d4bf8d7658ea4d8971b08b8c6f3ebc80348e79,UGl0dHNidXJnaCwgUEE=,42.0,42003.0,"{
  ""lat"": 40.4406248,
  ""lon"": -79.9958864
}"
efc72c439b4d7237ca9c0b65df2e2017a450a4a1,Q29sdW1idXMsIE9I,39.0,39049.0,"{
  ""lat"": 39.9611755,
  ""lon"": -82.9987942
}"
a9db10b27945ffb0aa6fea5d224eba1cae6e9648,QmVkZm9yZCwgVFg=,48.0,48439.0,"{
  ""lat"": 32.844017,
  ""lon"": -97.1430671
}"
71a3705969e22592bbdf39040220ddce3c320865,Q2hhcmxvdHRlLCBOQw==,37.0,37119.0,"{
  ""lat"": 35.2270869,
  ""lon"": -80.8431267
}"
ac0dd0ba1fa7a63480837ecdcf8b751a3603b0c3,V2FzaGluZ3RvbiwgREM=,11.0,11001.0,"{
  ""lat"": 38.9071923,
  ""lon"": -77.0368707
}"
121051fa59e06fa05069f06d86bd83d7b712e4f7,Qm90aGVsbCwgV0E=,53.0,53033.0,"{
  ""lat"": 47.760111,
  ""lon"": -122.2054452
}"
c1ba7f15f21ab2603cd64b596c022dc08f39b260,UGhvZW5peCwgQVo=,4.0,4013.0,"{
  ""lat"": 33.4483771,
  ""lon"": -112.0740373
}"
27a8aed79c4d0961477861291ec99f38e27b3c66,Q2hpY2FnbywgSUw=,17.0,17031.0,"{
  ""lat"": 41.8781136,
  ""lon"": -87.6297982
}"
17b6f64e56543425a34993ab5a1b696db3779923,QXVzdGluLCBUWA==,48.0,48453.0,"{
  ""lat"": 30.267153,
  ""lon"": -97.7430608
}"
e4251a79f1fd1259ae143a965509f00266d935a0,UmFsZWlnaCwgTkM=,37.0,37183.0,"{
  ""lat"": 35.7795897,
  ""lon"": -78.6381787
}"
57498a1847ad957b5a4b75d558176be820d98c63,QmFsdGltb3JlLCBNRA==,24.0,24510.0,"{
  ""lat"": 39.2903848,
  ""lon"": -76.6121893
}"
